____________________________________________________________________
			P o w e r T O P

____________________________________________________________________
 *  *  *   System Information   *  *  *

PowerTOP Version;2.14 ran at Thu May 21 11:57:43 2026

Kernel Version;Linux version 5.10.110-rockchip-rk3588
System Name;
CPU Information;8
OS Information;Ubuntu 22.04.5 LTS

Target: 1 units/s;System:  2685.6 wakeup/s;CPU:  137.9% usage;GPU: 0 ops/s;GFX: 78.5 wakeups/s;VFS: 0 ops/s;

____________________________________________________________________
 *  *  *   Top 10 Power Consumers   *  *  *

Usage;Events/s;Category;Description
 21.4%;332.0;Process;[PID 1527] /usr/lib/xorg/Xorg -core :0 -seat seat0 -auth /var/run/lightdm/root/:0 -nolisten tcp vt7 -novtswitch 
 38.6%;256.8;Process;[PID 5405] /usr/lib/chromium-browser/chromium-browser --type=renderer --enable-crashpad --crashpad-handler-pid=0 --enable-crash
  1.9%;362.1;Timer;tick_sched_timer
  2.2%;217.6;Interrupt;[2] IPI
  0.3%;203.7;Interrupt;[27] fd880000.i2c
  0.1%;141.8;kWork;check_group_sync_update_worker
  0.4%;121.7;kWork;dbs_work_handler
 18.1%; 40.3;Process;[PID 4069] /usr/lib/chromium-browser/chromium-browser --type=gpu-process --enable-crashpad --crashpad-handler-pid=0 --enable-cr
  0.4%; 97.4;Interrupt;[1] IPI
  0.8%; 88.5;Interrupt;[19] fb000000.gpu

____________________________________________________________________
 *  *  *   Processor Idle State Report   *  *  *

Package;0
WFI;  8.7%
cpu-sleep; 68.8%
;
;

CPU;0
WFI; 14.6%;   0.4 ms
cpu-sleep; 55.5%;   1.5 ms
CPU;1
WFI;  6.0%;   0.7 ms
cpu-sleep; 66.0%;   3.7 ms
CPU;2
WFI;  7.3%;   0.6 ms
cpu-sleep; 77.7%;   3.6 ms
CPU;3
WFI;  6.7%;   0.5 ms
cpu-sleep; 74.8%;   4.3 ms
;;
;;
;;
;;
;;
;;
;;
;;

Package;1
WFI;  4.6%
cpu-sleep; 77.9%
;
;

CPU;4
WFI;  5.0%;   0.7 ms
cpu-sleep; 78.9%;   6.9 ms
CPU;5
WFI;  4.2%;   0.7 ms
cpu-sleep; 76.7%;   7.4 ms
;;
;;
;;
;;

Package;2
WFI; 10.5%
cpu-sleep; 74.9%
;
;

CPU;6
WFI; 10.0%;   0.7 ms
cpu-sleep; 74.8%;   5.2 ms
CPU;7
WFI; 11.0%;   0.6 ms
cpu-sleep; 74.6%;   6.0 ms
;;
;;
;;
;;

____________________________________________________________________
 *  *  *   Processor Frequency Report   *  *  *

Package;0
 408 MHz;  10.8% 
 600 MHz;   7.8% 
 816 MHz;   1.8% 
1008 MHz;   0.6% 
1200 MHz;   0.1% 
1416 MHz;   0.4% 
1.61 GHz;   0.3% 
1.80 GHz;  35.6% 
Idle;  42.7% 
;
;
;
;
;
;
;
;
;
;

CPU 0
 408 MHz;   4.9% 
 600 MHz;   3.4% 
 816 MHz;   0.8% 
1008 MHz;   0.4% 
1200 MHz;   0.1% 
1416 MHz;   0.1% 
1.61 GHz;   0.2% 
1.80 GHz;  19.6% 
Idle;  70.5% 
CPU 1
 408 MHz;   7.7% 
 600 MHz;   3.3% 
 816 MHz;   1.1% 
1008 MHz;   0.1% 
1200 MHz;   0.0% 
1416 MHz;   0.2% 
1.61 GHz;   0.1% 
1.80 GHz;  14.8% 
Idle;  72.7% 
CPU 2
 408 MHz;   1.4% 
 600 MHz;   1.3% 
 816 MHz;   0.6% 
1008 MHz;   0.1% 
1200 MHz;   0.0% 
1416 MHz;   0.1% 
1.61 GHz;   0.1% 
1.80 GHz;  10.5% 
Idle;  85.8% 
CPU 3
 408 MHz;   1.4% 
 600 MHz;   1.8% 
 816 MHz;   0.6% 
1008 MHz;   0.2% 
1200 MHz;   0.0% 
1416 MHz;   0.2% 
1.61 GHz;   0.1% 
1.80 GHz;  13.8% 
Idle;  81.9% 
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;

Package;1
 408 MHz;   0.0% 
 600 MHz;   0.0% 
 816 MHz;   0.0% 
1008 MHz;   0.0% 
1200 MHz;   0.0% 
1416 MHz;   0.0% 
1.61 GHz;   0.0% 
1.80 GHz;   0.0% 
2.02 GHz;   0.0% 
2.21 GHz;   0.0% 
2.26 GHz;   0.0% 
2.31 GHz;   0.0% 
2.36 GHz;   0.0% 
2.40 GHz;   0.0% 
Idle; 100.0% 
;
;
;
;

CPU 4
 408 MHz;   0.0% 
 600 MHz;   0.0% 
 816 MHz;   0.0% 
1008 MHz;   0.0% 
1200 MHz;   0.0% 
1416 MHz;   0.0% 
1.61 GHz;   0.0% 
1.80 GHz;   0.0% 
2.02 GHz;   0.0% 
2.21 GHz;   0.0% 
2.26 GHz;   0.0% 
2.31 GHz;   0.0% 
2.36 GHz;   0.0% 
2.40 GHz;   0.0% 
Idle; 100.0% 
CPU 5
 408 MHz;   0.0% 
 600 MHz;   0.0% 
 816 MHz;   0.0% 
1008 MHz;   0.0% 
1200 MHz;   0.0% 
1416 MHz;   0.0% 
1.61 GHz;   0.0% 
1.80 GHz;   0.0% 
2.02 GHz;   0.0% 
2.21 GHz;   0.0% 
2.26 GHz;   0.0% 
2.31 GHz;   0.0% 
2.36 GHz;   0.0% 
2.40 GHz;   0.0% 
Idle; 100.0% 
;
;
;
;

Package;2
 408 MHz;   3.3% 
 600 MHz;   3.1% 
 816 MHz;   2.5% 
1008 MHz;   1.2% 
1200 MHz;   1.2% 
1416 MHz;   3.2% 
1.61 GHz;   2.3% 
1.80 GHz;   2.8% 
2.02 GHz;   1.7% 
2.21 GHz;   0.4% 
2.26 GHz;   0.1% 
2.31 GHz;   0.3% 
2.36 GHz;   0.0% 
2.40 GHz;   1.1% 
Idle;  76.9% 
;
;
;
;

CPU 6
 408 MHz;   2.0% 
 600 MHz;   2.3% 
 816 MHz;   1.9% 
1008 MHz;   0.7% 
1200 MHz;   0.6% 
1416 MHz;   2.0% 
1.61 GHz;   1.4% 
1.80 GHz;   1.3% 
2.02 GHz;   1.0% 
2.21 GHz;   0.3% 
2.26 GHz;   0.0% 
2.31 GHz;   0.2% 
2.36 GHz;   0.0% 
2.40 GHz;   0.8% 
Idle;  85.5% 
CPU 7
 408 MHz;   1.4% 
 600 MHz;   1.0% 
 816 MHz;   0.9% 
1008 MHz;   0.6% 
1200 MHz;   0.7% 
1416 MHz;   1.9% 
1.61 GHz;   1.2% 
1.80 GHz;   2.4% 
2.02 GHz;   1.2% 
2.21 GHz;   0.1% 
2.26 GHz;   0.1% 
2.31 GHz;   0.1% 
2.36 GHz;   0.0% 
2.40 GHz;   0.5% 
Idle;  87.9% 
;
;
;
;

____________________________________________________________________
 *  *  *   Overview of Software Power Consumers   *  *  *

Usage;Wakeups/s;GPU ops/s;Disk IO/s;GFX Wakeups/s;Category;Description
214.0 ms/s;332.0;;; 24.1;Process;[PID 1527] /usr/lib/xorg/Xorg -core :0 -seat seat0 -auth /var/run/lightdm/root/:0 -nolisten tcp vt7 -novtswitch 
385.7 ms/s;256.8;;;;Process;[PID 5405] /usr/lib/chromium-browser/chromium-browser --type=renderer --enable-crashpad --crashpad-handler-pid=0 --enable-crash
 18.7 ms/s;362.1;;;;Timer;tick_sched_timer
 22.0 ms/s;217.6;;;;Interrupt;[2] IPI
  3.1 ms/s;203.7;;;;Interrupt;[27] fd880000.i2c
  1.5 ms/s;141.8;;;;kWork;check_group_sync_update_worker
  3.8 ms/s;121.7;;;;kWork;dbs_work_handler
180.5 ms/s; 40.3;;;  3.5;Process;[PID 4069] /usr/lib/chromium-browser/chromium-browser --type=gpu-process --enable-crashpad --crashpad-handler-pid=0 --enable-cr
  3.9 ms/s; 97.4;;;;Interrupt;[1] IPI
  7.8 ms/s; 88.5;;;;Interrupt;[19] fb000000.gpu
  2.1 ms/s; 49.2;;;;Interrupt;[96] feb20000.spi
  6.0 ms/s; 47.5;;;;Interrupt;[6] tasklet(softirq)
  2.5 ms/s; 40.7;;;;Process;[PID 12] [rcu_sched]
  1.9 ms/s; 35.5;;;;Process;[PID 1557] [RTW_CMD_THREAD]
 15.3 ms/s; 19.7;;; 34.9;Process;[PID 2127] xfwm4 --display :0.0 --sm-client-id 217e20028-a1be-4900-b10a-d371808d67d7 
  0.7 ms/s; 34.1;;;;Interrupt;[69] fdd97e00.iommu
 29.5 ms/s; 21.2;;;;Process;[PID 3911] /usr/lib/chromium-browser/chromium-browser --enable-pinch --enable-crashpad 
 10.1 ms/s; 24.5;;;;Interrupt;[7] sched(softirq)
 26.9 ms/s; 16.8;;;;Process;[PID 5721] /snap/firefox/7421/usr/lib/firefox/firefox /home/orangepi/FSRCNN/sync-pilot/example/fsrcnn/fsrcnn_throughput.png 
  3.8 ms/s; 23.3;;;;Interrupt;[23] ohci_hcd:usb4
402.0 us/s; 23.0;;;;kWork;handle_update
 41.9 ms/s;  5.0;;;;Process;[PID 6662] /proc/self/exe --type=utility --utility-sub-type=node.mojom.NodeService --lang=en-US --service-sandbox-type=none --d
  2.8 ms/s; 17.7;;;  9.8;Process;[PID 1678] /usr/lib/xorg/Xorg -core :0 -seat seat0 -auth /var/run/lightdm/root/:0 -nolisten tcp vt7 -novtswitch 
  6.6 ms/s; 17.9;;;;Timer;hrtimer_wakeup
639.3 us/s; 19.9;;;;kWork;pm_runtime_work
  0.0 us/s; 19.9;;;;kWork;commit_work
 36.0 ms/s;  5.6;;;;Process;[PID 17691] /proc/self/exe --type=utility --utility-sub-type=node.mojom.NodeService --lang=en-US --service-sandbox-type=none --
 49.4 ms/s;;;;;Process;[PID 3433] htop 
270.7 us/s; 18.7;;;;kWork;flip_worker
  8.6 ms/s; 13.5;;;;Process;[PID 4068] /usr/lib/chromium-browser/chromium-browser --type=gpu-process --enable-crashpad --crashpad-handler-pid=0 --enable-cr
  2.2 ms/s; 14.7;;;;Process;[PID 18625] docker
  2.9 ms/s; 14.3;;;;Process;[PID 405] [loop4]
  0.8 ms/s; 13.1;;;;Interrupt;[17] fb000000.gpu
  0.8 ms/s; 12.2;;;;Process;[PID 18613] docker
389.8 us/s; 11.8;;;;Process;[PID 18633] docker
  0.8 ms/s; 11.6;;;;kWork;devfreq_monitor
115.2 us/s; 11.6;;;;Process;[PID 18654] docker
  4.9 us/s; 10.8;;;;kWork;gpu_idle_worker
365.7 us/s; 10.2;;;;Process;[PID 18644] docker
  2.8 ms/s;  8.7;;;  1.9;Process;[PID 2112] /usr/libexec/at-spi2-registryd --use-gnome-session 
 16.9 ms/s;  3.3;;;;Process;[PID 18643] docker
  0.0 us/s;  9.8;;;;kWork;schedule_on_tick
  1.3 ms/s;  9.1;;;;kWork;pending_submission_worker
 12.6 ms/s;  4.2;;;;Process;[PID 18624] docker
  0.0 us/s;  8.9;;;;kWork;input_dev_poller_work
471.9 us/s;  8.7;;;;kWork;blk_mq_run_work_fn
  1.9 ms/s;  8.1;;;;Process;[PID 183] [spi2]
  2.9 ms/s;  7.7;;;;Process;[PID 17701] /proc/self/exe --type=utility --utility-sub-type=node.mojom.NodeService --lang=en-US --service-sandbox-type=none --
338.0 us/s;  8.7;;;;Process;[PID 6771] /usr/bin/dockerd -H fd:// --containerd=/run/containerd/containerd.sock 
 12.8 ms/s;  3.7;;;;Process;[PID 18612] docker
519.5 us/s;  8.5;;;;kWork;kbase_pm_gpu_poweroff_wait_wq
 11.7 ms/s;  3.5;;;;Process;[PID 18632] docker
  2.4 ms/s;  6.2;;;  3.7;Process;[PID 6608] /usr/share/code/code /home/orangepi/FSRCNN/sync-pilot/example/fsrcnn/logs/fsrcnn_syncpilot.txt 
 19.2 ms/s; 0.19;;;;Process;[PID 18587] powertop --csv=/home/orangepi/FSRCNN/sync-pilot/example/fsrcnn/powertop_idle.csv --time=5 
 18.6 ms/s;;;;;Process;[PID 18624] code
  5.4 ms/s;  5.0;;;;Process;[PID 18653] docker
  1.1 ms/s;  6.6;;;;Process;[PID 1579] /usr/lib/xorg/Xorg -core :0 -seat seat0 -auth /var/run/lightdm/root/:0 -nolisten tcp vt7 -novtswitch 
267.5 us/s;  6.0;;;;Interrupt;[99] fec10000.saradc
  1.2 ms/s;  4.8;;;;Process;[PID 18614] docker
 11.7 ms/s;;;;;Interrupt;[13] arch_timer
  1.1 ms/s;  3.9;;;;Process;[PID 6673] /proc/self/exe --type=utility --utility-sub-type=node.mojom.NodeService --lang=en-US --service-sandbox-type=none --c
105.2 us/s;  4.2;;;;kWork;rockchip_system_monitor_thermal
  3.1 ms/s;  2.9;;;  0.2;Process;[PID 2970] /usr/bin/python3 /usr/bin/x-terminal-emulator 
  2.5 ms/s;  2.9;;;;Process;[PID 2160] xfsettingsd --display :0.0 --sm-client-id 2cfcf09f5-4537-4bf8-9aa5-3d324696cfc6 
  4.4 ms/s;  2.1;;;;Process;[PID 13242] [kworker/u16:1]
687.7 us/s;  3.5;;;;Process;[PID 18628] docker
156.0 us/s;  3.7;;;;Process;[PID 224] [mali-simple-pow]
627.9 us/s;  3.5;;;;Process;[PID 17721] /proc/self/exe --type=utility --utility-sub-type=node.mojom.NodeService --lang=en-US --service-sandbox-type=none --
  2.9 ms/s;  2.5;;;;Process;[PID 3957] /usr/lib/chromium-browser/chromium-browser --type=utility --utility-sub-type=network.mojom.NetworkService --lang=en-
  0.8 ms/s;  3.3;;;;Process;[PID 18635] docker
  3.8 ms/s;  1.9;;;;Process;[PID 5921] [kworker/0:2]
  0.8 ms/s;  3.1;;;;Process;[PID 18649] docker
  8.5 ms/s;;;;;Process;[PID 18632] code
498.2 us/s;  3.1;;;;Process;[PID 18616] docker
  8.3 ms/s;;;;;Process;[PID 18643] code
  8.2 ms/s;;;;;Process;[PID 18653] code
  4.0 ms/s;  1.5;;;;Process;[PID 17661] /usr/share/code/code --type=zygote 
509.9 us/s;  2.9;;;;Process;[PID 18618] docker
