____________________________________________________________________
			P o w e r T O P

____________________________________________________________________
 *  *  *   System Information   *  *  *

PowerTOP Version;2.14 ran at Thu May 21 12:09:12 2026

Kernel Version;Linux version 5.10.110-rockchip-rk3588
System Name;
CPU Information;8
OS Information;Ubuntu 22.04.5 LTS

Target: 1 units/s;System:  289.0 wakeup/s;CPU:  251.7% usage;GPU: 0 ops/s;GFX: 2.2 wakeups/s;VFS: 0 ops/s;

____________________________________________________________________
 *  *  *   Top 10 Power Consumers   *  *  *

Usage;Events/s;Category;Description
 75.3%;  0.5;kWork;commit_work
 75.0%;  0.4;kWork;gpu_idle_worker
 64.5%; 0.06;Process;[PID 25069] fsrcnn_syncpilo
  0.2%; 77.6;Interrupt;[2] IPI
 13.6%; 17.6;Process;[PID 25063] fsrcnn_syncpilo
  0.2%; 50.8;Timer;hrtimer_wakeup
  8.1%;  4.9;kWork;dbs_work_handler
  2.4%; 20.9;Process;[PID 25068] fsrcnn_syncpilo
  1.2%; 19.7;Process;[PID 25062] fsrcnn_syncpilo
  1.4%; 14.6;Process;[PID 25067] fsrcnn_syncpilo

____________________________________________________________________
 *  *  *   Processor Idle State Report   *  *  *

Package;0
WFI; 29.9%
cpu-sleep; 15.6%
;
;

CPU;0
WFI; 40.6%;   0.1 ms
cpu-sleep; 20.2%;   0.7 ms
CPU;1
WFI; 41.8%;   0.1 ms
cpu-sleep; 21.2%;   1.2 ms
CPU;2
WFI; 37.2%;   0.1 ms
cpu-sleep; 15.8%;   3.6 ms
CPU;3
WFI;  0.0%;   0.4 ms
cpu-sleep;  5.2%;  14.7 ms
;;
;;
;;
;;
;;
;;
;;
;;

Package;1
WFI; 20.8%
cpu-sleep; 24.2%
;
;

CPU;4
WFI; 22.2%;   0.0 ms
cpu-sleep; 23.7%;   1.0 ms
CPU;5
WFI; 19.5%;   0.0 ms
cpu-sleep; 24.6%;   1.0 ms
;;
;;
;;
;;

Package;2
WFI; 47.1%
cpu-sleep; 23.3%
;
;

CPU;6
WFI; 45.0%;   0.1 ms
cpu-sleep; 24.1%;   0.9 ms
CPU;7
WFI; 49.1%;   0.1 ms
cpu-sleep; 22.6%;   0.8 ms
;;
;;
;;
;;

____________________________________________________________________
 *  *  *   Processor Frequency Report   *  *  *

Package;0
 408 MHz;   1.0% 
 600 MHz;   1.6% 
 816 MHz;   0.2% 
1008 MHz;   0.0% 
1200 MHz;   0.0% 
1416 MHz;   0.0% 
1.61 GHz;   0.0% 
1.80 GHz;  97.1% 
Idle;   0.0% 
;
;
;
;
;
;
;
;
;
;

CPU 0
 408 MHz;   1.0% 
 600 MHz;   1.6% 
 816 MHz;   0.2% 
1008 MHz;   0.0% 
1200 MHz;   0.0% 
1416 MHz;   0.0% 
1.61 GHz;   0.0% 
1.80 GHz;  96.0% 
Idle;   1.2% 
CPU 1
 408 MHz;   0.0% 
 600 MHz;   0.0% 
 816 MHz;   0.0% 
1008 MHz;   0.0% 
1200 MHz;   0.0% 
1416 MHz;   0.0% 
1.61 GHz;   0.0% 
1.80 GHz;   2.3% 
Idle;  97.7% 
CPU 2
 408 MHz;   0.0% 
 600 MHz;   0.0% 
 816 MHz;   0.0% 
1008 MHz;   0.0% 
1200 MHz;   0.0% 
1416 MHz;   0.0% 
1.61 GHz;   0.0% 
1.80 GHz;   3.7% 
Idle;  96.3% 
CPU 3
 408 MHz;   0.0% 
 600 MHz;   0.0% 
 816 MHz;   0.0% 
1008 MHz;   0.0% 
1200 MHz;   0.0% 
1416 MHz;   0.0% 
1.61 GHz;   0.0% 
1.80 GHz;  94.5% 
Idle;   5.4% 
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;

Package;1
 408 MHz;   0.0% 
 600 MHz;   0.0% 
 816 MHz;   0.0% 
1008 MHz;   0.0% 
1200 MHz;   0.0% 
1416 MHz;   0.0% 
1.61 GHz;   0.0% 
1.80 GHz;   0.0% 
2.02 GHz;   0.0% 
2.21 GHz;   0.0% 
2.26 GHz;   0.0% 
2.31 GHz;   0.0% 
2.36 GHz;   0.0% 
2.40 GHz;   0.0% 
Idle; 100.0% 
;
;
;
;

CPU 4
 408 MHz;   0.0% 
 600 MHz;   0.0% 
 816 MHz;   0.0% 
1008 MHz;   0.0% 
1200 MHz;   0.0% 
1416 MHz;   0.0% 
1.61 GHz;   0.0% 
1.80 GHz;   0.0% 
2.02 GHz;   0.0% 
2.21 GHz;   0.0% 
2.26 GHz;   0.0% 
2.31 GHz;   0.0% 
2.36 GHz;   0.0% 
2.40 GHz;   0.0% 
Idle; 100.0% 
CPU 5
 408 MHz;   0.0% 
 600 MHz;   0.0% 
 816 MHz;   0.0% 
1008 MHz;   0.0% 
1200 MHz;   0.0% 
1416 MHz;   0.0% 
1.61 GHz;   0.0% 
1.80 GHz;   0.0% 
2.02 GHz;   0.0% 
2.21 GHz;   0.0% 
2.26 GHz;   0.0% 
2.31 GHz;   0.0% 
2.36 GHz;   0.0% 
2.40 GHz;   0.0% 
Idle; 100.0% 
;
;
;
;

Package;2
 408 MHz;  13.6% 
 600 MHz;   7.1% 
 816 MHz;  40.0% 
1008 MHz;  18.9% 
1200 MHz;   4.6% 
1416 MHz;   1.9% 
1.61 GHz;   1.4% 
1.80 GHz;   1.3% 
2.02 GHz;   1.4% 
2.21 GHz;   0.8% 
2.26 GHz;   0.3% 
2.31 GHz;   0.3% 
2.36 GHz;   0.0% 
2.40 GHz;   7.2% 
Idle;   1.3% 
;
;
;
;

CPU 6
 408 MHz;  13.6% 
 600 MHz;   7.0% 
 816 MHz;  39.9% 
1008 MHz;  18.9% 
1200 MHz;   4.6% 
1416 MHz;   1.9% 
1.61 GHz;   1.4% 
1.80 GHz;   1.3% 
2.02 GHz;   1.4% 
2.21 GHz;   0.8% 
2.26 GHz;   0.3% 
2.31 GHz;   0.3% 
2.36 GHz;   0.0% 
2.40 GHz;   6.9% 
Idle;   1.8% 
CPU 7
 408 MHz;   0.0% 
 600 MHz;   0.1% 
 816 MHz;   0.1% 
1008 MHz;   0.0% 
1200 MHz;   0.1% 
1416 MHz;   0.0% 
1.61 GHz;   0.0% 
1.80 GHz;   0.1% 
2.02 GHz;   0.0% 
2.21 GHz;   0.0% 
2.26 GHz;   0.0% 
2.31 GHz;   0.0% 
2.36 GHz;   0.0% 
2.40 GHz;   0.4% 
Idle;  99.1% 
;
;
;
;

____________________________________________________________________
 *  *  *   Overview of Software Power Consumers   *  *  *

Usage;Wakeups/s;GPU ops/s;Disk IO/s;GFX Wakeups/s;Category;Description
753.1 ms/s;  0.5;;;;kWork;commit_work
749.8 ms/s;  0.4;;;;kWork;gpu_idle_worker
644.6 ms/s; 0.06;;;;Process;[PID 25069] fsrcnn_syncpilo
  1.6 ms/s; 77.6;;;;Interrupt;[2] IPI
136.2 ms/s; 17.6;;;;Process;[PID 25063] fsrcnn_syncpilo
  2.4 ms/s; 50.8;;;;Timer;hrtimer_wakeup
 81.4 ms/s;  4.9;;;;kWork;dbs_work_handler
 23.8 ms/s; 20.9;;;;Process;[PID 25068] fsrcnn_syncpilo
 11.8 ms/s; 19.7;;;;Process;[PID 25062] fsrcnn_syncpilo
 14.5 ms/s; 14.6;;;;Process;[PID 25067] fsrcnn_syncpilo
  3.7 ms/s; 11.3;;;;Timer;tick_sched_timer
124.9 us/s; 12.5;;;;Interrupt;[1] IPI
  2.8 ms/s; 11.1;;;  0.0;Process;[PID 25066] fsrcnn_syncpilo
  3.7 ms/s;  8.3;;;  0.9;Process;[PID 1527] /usr/lib/xorg/Xorg -core :0 -seat seat0 -auth /var/run/lightdm/root/:0 -nolisten tcp vt7 -novtswitch 
 17.9 ms/s;  0.8;;;;kWork;devfreq_monitor
228.3 us/s;  6.1;;;;Interrupt;[27] fd880000.i2c
 12.4 ms/s; 0.02;;;;kWork;phy_state_machine
389.5 us/s;  4.8;;;;kWork;check_group_sync_update_worker
 11.1 ms/s;  0.3;;;;kWork;schedule_on_tick
  3.0 ms/s;  3.3;;;;Process;[PID 17661] /usr/share/code/code --type=zygote 
355.6 us/s;  2.7;;;  1.0;Process;[PID 2127] xfwm4 --display :0.0 --sm-client-id 217e20028-a1be-4900-b10a-d371808d67d7 
  5.2 ms/s;  0.9;;;;Interrupt;[7] sched(softirq)
  4.5 ms/s;  0.4;;;;kWork;pending_submission_worker
  4.3 ms/s; 0.19;;;;Interrupt;[9] RCU(softirq)
 47.0 us/s;  1.6;;;;Process;[PID 12] [rcu_sched]
  1.9 ms/s;  0.8;;;;Interrupt;[6] tasklet(softirq)
  1.0 ms/s;  1.1;;;  0.2;Process;[PID 6656] /usr/share/code/code --type=zygote --no-zygote-sandbox 
  3.8 ms/s;;;;;Interrupt;[13] arch_timer
 24.7 us/s;  1.4;;;;Process;[PID 1557] [RTW_CMD_THREAD]
  2.9 ms/s; 0.25;;;;Process;[PID 25064] fsrcnn_syncpilo
  1.8 ms/s;  0.5;;;;Process;[PID 25065] fsrcnn_syncpilo
  2.9 ms/s; 0.02;;;;kWork;rk_pm_power_off_delay_work
255.7 us/s;  1.0;;;;Interrupt;[23] ohci_hcd:usb4
233.9 us/s;  0.9;;;;kWork;handle_update
  0.8 ms/s;  0.7;;;;kWork;input_dev_poller_work
356.5 us/s;  0.8;;;;Process;[PID 17739] /proc/self/exe --type=utility --utility-sub-type=node.mojom.NodeService --lang=en-US --service-sandbox-type=none --
122.3 us/s;  0.6;;;;Process;[PID 25060] fsrcnn_syncpilo
589.4 us/s;  0.4;;;;Process;[PID 17691] /proc/self/exe --type=utility --utility-sub-type=node.mojom.NodeService --lang=en-US --service-sandbox-type=none --
 47.1 us/s;  0.6;;;;Process;[PID 17738] /proc/self/exe --type=utility --utility-sub-type=node.mojom.NodeService --lang=en-US --service-sandbox-type=none --
  1.4 ms/s; 0.03;;;;Interrupt;[1] timer(softirq)
 17.6 us/s;  0.5;;;;kWork;flip_worker
 28.6 us/s;  0.5;;;;Interrupt;[69] fdd97e00.iommu
  1.2 ms/s;;;;;Timer;delayed_work_timer_fn
  9.5 us/s;  0.4;;;;Process;[PID 25088] docker
220.7 us/s;  0.3;;;;kWork;kbase_pm_gpu_poweroff_wait_wq
  6.3 us/s;  0.4;;;;Process;[PID 25079] docker
120.3 us/s; 0.29;;;;Process;[PID 6655] /usr/share/code/code --type=zygote --no-zygote-sandbox 
 26.4 us/s;  0.3;;;;Process;[PID 17721] /proc/self/exe --type=utility --utility-sub-type=node.mojom.NodeService --lang=en-US --service-sandbox-type=none --
  0.7 ms/s; 0.03;;;;Process;[PID 6662] /proc/self/exe --type=utility --utility-sub-type=node.mojom.NodeService --lang=en-US --service-sandbox-type=none --d
163.3 us/s; 0.24;;;;kWork;pm_runtime_work
  0.7 ms/s;;;;  0.0;Process;[PID 18732] [kworker/3:3]
258.6 us/s; 0.17;;;  0.0;Process;[PID 2201] /usr/bin/Thunar --daemon 
  0.7 ms/s;;;;;Timer;process_timeout
661.8 us/s;;;;;Interrupt;[3] net_rx(softirq)
 20.8 us/s; 0.25;;;;Process;[PID 1579] /usr/lib/xorg/Xorg -core :0 -seat seat0 -auth /var/run/lightdm/root/:0 -nolisten tcp vt7 -novtswitch 
 27.1 us/s; 0.24;;;;Process;[PID 17794] /usr/share/code/code /usr/share/code/resources/app/extensions/markdown-language-features/dist/serverWorkerMain --no
 30.0 us/s; 0.23;;;;Process;[PID 2207] /usr/bin/Thunar --daemon 
 20.2 us/s; 0.23;;;;Process;[PID 17706] /proc/self/exe --type=utility --utility-sub-type=node.mojom.NodeService --lang=en-US --service-sandbox-type=none --
 87.1 us/s; 0.20;;;;Process;[PID 17701] /proc/self/exe --type=utility --utility-sub-type=node.mojom.NodeService --lang=en-US --service-sandbox-type=none --
 10.5 us/s; 0.22;;;;Interrupt;[96] feb20000.spi
567.6 us/s;;;;;Process;[PID 3433] htop 
124.0 us/s; 0.17;;;;Process;[PID 5405] /usr/lib/chromium-browser/chromium-browser --type=renderer --enable-crashpad --crashpad-handler-pid=0 --enable-crash
  4.6 us/s; 0.22;;;;Process;[PID 6771] /usr/bin/dockerd -H fd:// --containerd=/run/containerd/containerd.sock 
211.8 us/s; 0.13;;;;Process;[PID 25078] docker
156.0 us/s; 0.14;;;;Interrupt;[19] fb000000.gpu
175.3 us/s; 0.07;;;;Process;[PID 23206] [kworker/7:1]
  3.2 us/s; 0.14;;;;Process;[PID 11] [ksoftirqd/0]
  5.6 us/s; 0.13;;;;Process;[PID 25081] docker
316.6 us/s;;;;;Process;[PID 25045] powertop --csv=/home/orangepi/FSRCNN/sync-pilot/example/fsrcnn/powertop_A.csv --time=120 
 89.8 us/s; 0.08;;;  0.0;Process;[PID 2970] /usr/bin/python3 /usr/bin/x-terminal-emulator 
211.0 us/s; 0.04;;;;Interrupt;[6] IPI
  5.2 us/s; 0.12;;;;kWork;drm_mode_rmfb_work_fn
 15.9 us/s; 0.11;;;;Process;[PID 25083] docker
 28.4 us/s; 0.10;;;;Process;[PID 6218] /snap/firefox/7421/usr/lib/firefox/firefox -contentproc -isForBrowser -prefsHandle 0:43633 -prefMapHandle 1:276972 -
 59.4 us/s; 0.08;;;;kWork;kbase_devfreq_suspend_resume_wo
183.0 us/s; 0.03;;;;Process;[PID 25087] docker
  7.1 us/s; 0.10;;;;Process;[PID 183] [spi2]
  1.7 us/s; 0.10;;;;Process;[PID 25103] docker
 83.1 us/s; 0.07;;;;kWork;free_work
 18.4 us/s; 0.09;;;;Process;[PID 6070] /snap/firefox/7421/usr/lib/firefox/firefox -contentproc -isForBrowser -prefsHandle 0:37048 -prefMapHandle 1:276972 -
 70.0 us/s; 0.07;;;;Process;[PID 25094] docker
  4.9 us/s; 0.09;;;;Process;[PID 6696] /proc/self/exe --type=utility --utility-sub-type=node.mojom.NodeService --lang=en-US --service-sandbox-type=none --d
