env|max_freq_khz|3900000|p_cpus|15,16,17,18,19,5,6,7,8,9|e_cpus|0,1,10,11,12,13,14,2,3,4
env|p_max_khz|3900000|e_max_khz|2808000
cost|20W-notp|8|0.006956,0.026199,0.012246,0.006273,0.004977,0.004309,0.021664,0.071086|1098
cost|20W-notp|9|0.006725,0.013411,0.004173,0.006413,0.003427,0.002758,0.019091,0.053716|1126
cost|20W-notp|10|0.006178,0.018836,0.012086,0.010451,0.005276,0.005131,0.023234,0.065811|1146
perfrun|1|/home/lab_iot/FSRCNN/sync-pilot/example/fsrcnn/paperdata/out/20260805-160940/runlogs/perf_1w.log
perfrun|4|/home/lab_iot/FSRCNN/sync-pilot/example/fsrcnn/paperdata/out/20260805-160940/runlogs/perf_4w.log
perfrun|8|/home/lab_iot/FSRCNN/sync-pilot/example/fsrcnn/paperdata/out/20260805-160940/runlogs/perf_8w.log
perfrun|10|/home/lab_iot/FSRCNN/sync-pilot/example/fsrcnn/paperdata/out/20260805-160940/runlogs/perf_10w.log
perfrun|20|/home/lab_iot/FSRCNN/sync-pilot/example/fsrcnn/paperdata/out/20260805-160940/runlogs/perf_20w.log
exp|EXP2_P_only_pinned_P|/home/lab_iot/FSRCNN/sync-pilot/example/fsrcnn/paperdata/out/20260805-160940/runlogs/EXP2_P_only_pinned_P.log
exp|EXP4_full20_counters_P|/home/lab_iot/FSRCNN/sync-pilot/example/fsrcnn/paperdata/out/20260805-160940/runlogs/EXP4_full20_counters_P.log
exp|EXP3_full20_counters_E|/home/lab_iot/FSRCNN/sync-pilot/example/fsrcnn/paperdata/out/20260805-160940/runlogs/EXP3_full20_counters_E.log
gprof|10|/home/lab_iot/FSRCNN/sync-pilot/example/fsrcnn/paperdata/out/20260805-160940/runlogs/gprof_10w.txt
gprof|20|/home/lab_iot/FSRCNN/sync-pilot/example/fsrcnn/paperdata/out/20260805-160940/runlogs/gprof_20w.txt
