[SYNCPILOT | CPU  4] Layer 2 memproses Frame   5 | Waktu: 0.04400 detik
[SYNCPILOT | CPU 18] Layer 6 memproses Frame  14 | Waktu: 0.00390 detik
[SYNCPILOT | CPU 17] Layer 6 memproses Frame  19 | Waktu: 0.00374 detik
[SYNCPILOT | CPU 15] Layer 6 memproses Frame  12 | Waktu: 0.00400 detik
[SYNCPILOT | CPU  8] Layer 4 memproses Frame   7 | Waktu: 0.00645 detik
[SYNCPILOT | CPU  3] Layer 2 memproses Frame   2 | Waktu: 0.04410 detik
[SYNCPILOT | CPU  1] Layer 2 memproses Frame  15 | Waktu: 0.04309 detik
[SYNCPILOT | CPU  9] Layer 5 memproses Frame   6 | Waktu: 0.00466 detik
[SYNCPILOT | CPU  6] Layer 5 memproses Frame  11 | Waktu: 0.00470 detik
[SYNCPILOT | CPU  7] Layer 5 memproses Frame  16 | Waktu: 0.00465 detik
[SYNCPILOT | CPU  5] Layer 6 memproses Frame   4 | Waktu: 0.00409 detik
[SYNCPILOT | CPU  8] Layer 5 memproses Frame   7 | Waktu: 0.00397 detik
[SYNCPILOT | CPU  9] Layer 6 memproses Frame   6 | Waktu: 0.00443 detik
[SYNCPILOT | CPU 13] Layer 4 memproses Frame   1 | Waktu: 0.01162 detik
[SYNCPILOT | CPU  6] Layer 6 memproses Frame  11 | Waktu: 0.00449 detik
[SYNCPILOT | CPU  7] Layer 6 memproses Frame  16 | Waktu: 0.00467 detik
[SYNCPILOT | CPU 14] Layer 4 memproses Frame   9 | Waktu: 0.01196 detik
[SYNCPILOT | CPU  8] Layer 6 memproses Frame   7 | Waktu: 0.00507 detik
[SYNCPILOT | CPU 11] Layer 4 memproses Frame   8 | Waktu: 0.01359 detik
[SYNCPILOT | CPU 12] Layer 4 memproses Frame  17 | Waktu: 0.01238 detik
[SYNCPILOT | CPU 16] Layer 7 memproses Frame  13 | Waktu: 0.01594 detik
[SYNCPILOT | CPU  0] Layer 3 memproses Frame  18 | Waktu: 0.01419 detik
[SYNCPILOT | CPU 19] Layer 7 memproses Frame  10 | Waktu: 0.01708 detik
[SYNCPILOT | CPU 10] Layer 4 memproses Frame  20 | Waktu: 0.01569 detik
[SYNCPILOT | CPU  2] Layer 3 memproses Frame   3 | Waktu: 0.01618 detik
[SYNCPILOT | CPU  3] Layer 3 memproses Frame   2 | Waktu: 0.01419 detik
[SYNCPILOT | CPU  4] Layer 3 memproses Frame   5 | Waktu: 0.01560 detik
[SYNCPILOT | CPU  1] Layer 3 memproses Frame  15 | Waktu: 0.01315 detik
[SYNCPILOT | CPU 17] Layer 7 memproses Frame  19 | Waktu: 0.01781 detik
[SYNCPILOT | CPU 18] Layer 7 memproses Frame  14 | Waktu: 0.01918 detik
[SYNCPILOT | CPU 15] Layer 7 memproses Frame  12 | Waktu: 0.01943 detik
[SYNCPILOT | CPU 13] Layer 5 memproses Frame   1 | Waktu: 0.01345 detik
[SYNCPILOT | CPU 14] Layer 5 memproses Frame   9 | Waktu: 0.01325 detik
[SYNCPILOT | CPU 11] Layer 5 memproses Frame   8 | Waktu: 0.01102 detik
[SYNCPILOT | CPU 12] Layer 5 memproses Frame  17 | Waktu: 0.01088 detik
[SYNCPILOT | CPU  5] Layer 7 memproses Frame   4 | Waktu: 0.02112 detik
[SYNCPILOT | CPU 10] Layer 5 memproses Frame  20 | Waktu: 0.00984 detik
[SYNCPILOT | CPU  9] Layer 7 memproses Frame   6 | Waktu: 0.02111 detik
[SYNCPILOT | CPU  6] Layer 7 memproses Frame  11 | Waktu: 0.02104 detik
[SYNCPILOT | CPU  7] Layer 7 memproses Frame  16 | Waktu: 0.02187 detik
[SYNCPILOT | CPU 13] Layer 6 memproses Frame   1 | Waktu: 0.00877 detik
