[SYNCPILOT | CPU  7] Layer 2 memproses Frame  10 | Waktu: 0.11051 detik
[SYNCPILOT | CPU  4] Layer 3 memproses Frame   9 | Waktu: 0.01755 detik
[SYNCPILOT | CPU  6] Layer 2 memproses Frame  11 | Waktu: 0.11104 detik
[SYNCPILOT | CPU  7] Layer 3 memproses Frame  10 | Waktu: 0.01852 detik
[SYNCPILOT | CPU  5] Layer 2 memproses Frame  12 | Waktu: 0.10044 detik
[SYNCPILOT | CPU  4] Layer 4 memproses Frame   9 | Waktu: 0.01873 detik
[SYNCPILOT | CPU  6] Layer 3 memproses Frame  11 | Waktu: 0.01780 detik
[SYNCPILOT | CPU  7] Layer 4 memproses Frame  10 | Waktu: 0.01790 detik
[SYNCPILOT | CPU  5] Layer 3 memproses Frame  12 | Waktu: 0.01721 detik
[SYNCPILOT | CPU  4] Layer 5 memproses Frame   9 | Waktu: 0.01728 detik
[SYNCPILOT | CPU  6] Layer 4 memproses Frame  11 | Waktu: 0.01764 detik
[SYNCPILOT | CPU  7] Layer 5 memproses Frame  10 | Waktu: 0.01740 detik
[SYNCPILOT | CPU  5] Layer 4 memproses Frame  12 | Waktu: 0.01738 detik
[SYNCPILOT | CPU  4] Layer 6 memproses Frame   9 | Waktu: 0.01726 detik
[SYNCPILOT | CPU  6] Layer 5 memproses Frame  11 | Waktu: 0.01767 detik
[SYNCPILOT | CPU  7] Layer 6 memproses Frame  10 | Waktu: 0.01825 detik
[SYNCPILOT | CPU  5] Layer 5 memproses Frame  12 | Waktu: 0.01903 detik
[SYNCPILOT | CPU  6] Layer 6 memproses Frame  11 | Waktu: 0.01963 detik
[SYNCPILOT | CPU  5] Layer 6 memproses Frame  12 | Waktu: 0.02233 detik
[SYNCPILOT | CPU  4] Layer 7 memproses Frame   9 | Waktu: 0.07082 detik
[SYNCPILOT | CPU  7] Layer 7 memproses Frame  10 | Waktu: 0.07137 detik
[SYNCPILOT | CPU  6] Layer 7 memproses Frame  11 | Waktu: 0.06910 detik
[SYNCPILOT | CPU  5] Layer 7 memproses Frame  12 | Waktu: 0.06362 detik
[SYNCPILOT | CPU  4] Layer 8 memproses Frame   9 | Waktu: 0.17995 detik
[SYNCPILOT | CPU  7] Layer 8 memproses Frame  10 | Waktu: 0.17479 detik
[SYNCPILOT | CPU  4] Layer 1 memproses Frame  13 | Waktu: 0.01393 detik
[SYNCPILOT | CPU  6] Layer 8 memproses Frame  11 | Waktu: 0.17407 detik
[SYNCPILOT | CPU  7] Layer 1 memproses Frame  14 | Waktu: 0.01375 detik
[SYNCPILOT | CPU  6] Layer 1 memproses Frame  15 | Waktu: 0.01330 detik
[SYNCPILOT | CPU  5] Layer 8 memproses Frame  12 | Waktu: 0.17803 detik
[SYNCPILOT | CPU  5] Layer 1 memproses Frame  16 | Waktu: 0.01386 detik
[SYNCPILOT | CPU  4] Layer 2 memproses Frame  13 | Waktu: 0.05559 detik
[SYNCPILOT | CPU  7] Layer 2 memproses Frame  14 | Waktu: 0.05733 detik
[SYNCPILOT | CPU  4] Layer 3 memproses Frame  13 | Waktu: 0.02023 detik
[SYNCPILOT | CPU  6] Layer 2 memproses Frame  15 | Waktu: 0.06448 detik
[SYNCPILOT | CPU  7] Layer 3 memproses Frame  14 | Waktu: 0.01960 detik
[SYNCPILOT | CPU  5] Layer 2 memproses Frame  16 | Waktu: 0.06315 detik
[SYNCPILOT | CPU  4] Layer 4 memproses Frame  13 | Waktu: 0.01937 detik
[SYNCPILOT | CPU  6] Layer 3 memproses Frame  15 | Waktu: 0.01867 detik
[SYNCPILOT | CPU  7] Layer 4 memproses Frame  14 | Waktu: 0.01860 detik
[SYNCPILOT | CPU  5] Layer 3 memproses Frame  16 | Waktu: 0.01761 detik
[SYNCPILOT | CPU  4] Layer 5 memproses Frame  13 | Waktu: 0.01764 detik
[SYNCPILOT | CPU  6] Layer 4 memproses Frame  15 | Waktu: 0.01797 detik
[SYNCPILOT | CPU  7] Layer 5 memproses Frame  14 | Waktu: 0.01784 detik
[SYNCPILOT | CPU  5] Layer 4 memproses Frame  16 | Waktu: 0.01793 detik
[SYNCPILOT | CPU  4] Layer 6 memproses Frame  13 | Waktu: 0.01775 detik
[SYNCPILOT | CPU  6] Layer 5 memproses Frame  15 | Waktu: 0.01806 detik
[SYNCPILOT | CPU  7] Layer 6 memproses Frame  14 | Waktu: 0.01808 detik
[SYNCPILOT | CPU  5] Layer 5 memproses Frame  16 | Waktu: 0.02058 detik
[SYNCPILOT | CPU  6] Layer 6 memproses Frame  15 | Waktu: 0.02131 detik
[SYNCPILOT | CPU  5] Layer 6 memproses Frame  16 | Waktu: 0.02207 detik
[SYNCPILOT | CPU  4] Layer 7 memproses Frame  13 | Waktu: 0.07749 detik
[SYNCPILOT | CPU  7] Layer 7 memproses Frame  14 | Waktu: 0.07953 detik
[SYNCPILOT | CPU  6] Layer 7 memproses Frame  15 | Waktu: 0.08375 detik
[SYNCPILOT | CPU  5] Layer 7 memproses Frame  16 | Waktu: 0.08334 detik
[SYNCPILOT | CPU  4] Layer 8 memproses Frame  13 | Waktu: 0.20558 detik
[SYNCPILOT | CPU  7] Layer 8 memproses Frame  14 | Waktu: 0.20320 detik
[SYNCPILOT | CPU  4] Layer 1 memproses Frame  17 | Waktu: 0.01270 detik
[SYNCPILOT | CPU  7] Layer 1 memproses Frame  18 | Waktu: 0.01294 detik
[SYNCPILOT | CPU  6] Layer 8 memproses Frame  15 | Waktu: 0.19830 detik
[SYNCPILOT | CPU  6] Layer 1 memproses Frame  19 | Waktu: 0.01313 detik
[SYNCPILOT | CPU  5] Layer 8 memproses Frame  16 | Waktu: 0.20358 detik
[SYNCPILOT | CPU  5] Layer 1 memproses Frame  20 | Waktu: 0.01461 detik
[SYNCPILOT | CPU  4] Layer 2 memproses Frame  17 | Waktu: 0.04813 detik
[SYNCPILOT | CPU  7] Layer 2 memproses Frame  18 | Waktu: 0.05125 detik
[SYNCPILOT | CPU  4] Layer 3 memproses Frame  17 | Waktu: 0.01932 detik
[SYNCPILOT | CPU  7] Layer 3 memproses Frame  18 | Waktu: 0.01899 detik
[SYNCPILOT | CPU  6] Layer 2 memproses Frame  19 | Waktu: 0.05569 detik
[SYNCPILOT | CPU  4] Layer 4 memproses Frame  17 | Waktu: 0.01864 detik
[SYNCPILOT | CPU  7] Layer 4 memproses Frame  18 | Waktu: 0.01778 detik
[SYNCPILOT | CPU  6] Layer 3 memproses Frame  19 | Waktu: 0.01762 detik
[SYNCPILOT | CPU  5] Layer 2 memproses Frame  20 | Waktu: 0.05343 detik
[SYNCPILOT | CPU  4] Layer 5 memproses Frame  17 | Waktu: 0.01730 detik
[SYNCPILOT | CPU  7] Layer 5 memproses Frame  18 | Waktu: 0.01665 detik
[SYNCPILOT | CPU  6] Layer 4 memproses Frame  19 | Waktu: 0.01694 detik
[SYNCPILOT | CPU  5] Layer 3 memproses Frame  20 | Waktu: 0.01644 detik
[SYNCPILOT | CPU  4] Layer 6 memproses Frame  17 | Waktu: 0.01652 detik
[SYNCPILOT | CPU  7] Layer 6 memproses Frame  18 | Waktu: 0.01714 detik
[SYNCPILOT | CPU  6] Layer 5 memproses Frame  19 | Waktu: 0.01781 detik
[SYNCPILOT | CPU  5] Layer 4 memproses Frame  20 | Waktu: 0.01817 detik
[SYNCPILOT | CPU  6] Layer 6 memproses Frame  19 | Waktu: 0.01946 detik
[SYNCPILOT | CPU  5] Layer 5 memproses Frame  20 | Waktu: 0.01942 detik
[SYNCPILOT | CPU  5] Layer 6 memproses Frame  20 | Waktu: 0.02162 detik
[SYNCPILOT | CPU  4] Layer 7 memproses Frame  17 | Waktu: 0.06310 detik
[SYNCPILOT | CPU  7] Layer 7 memproses Frame  18 | Waktu: 0.06455 detik
[SYNCPILOT | CPU  6] Layer 7 memproses Frame  19 | Waktu: 0.06260 detik
[SYNCPILOT | CPU  5] Layer 7 memproses Frame  20 | Waktu: 0.05376 detik
[SYNCPILOT | CPU  4] Layer 8 memproses Frame  17 | Waktu: 0.18750 detik
[SYNCPILOT | CPU  7] Layer 8 memproses Frame  18 | Waktu: 0.18356 detik
[SYNCPILOT | CPU  4] Layer 1 memproses Frame  21 | Waktu: 0.01457 detik
[SYNCPILOT | CPU  7] Layer 1 memproses Frame  22 | Waktu: 0.01460 detik
[SYNCPILOT | CPU  6] Layer 8 memproses Frame  19 | Waktu: 0.18525 detik
[SYNCPILOT | CPU  6] Layer 1 memproses Frame  23 | Waktu: 0.01971 detik
[SYNCPILOT | CPU  5] Layer 8 memproses Frame  20 | Waktu: 0.20854 detik
[SYNCPILOT | CPU  5] Layer 1 memproses Frame  24 | Waktu: 0.01970 detik
