[SYNCPILOT | CPU  7] Layer 5 memproses Frame  11 | Waktu: 0.03236 detik
[SYNCPILOT | CPU  4] Layer 5 memproses Frame  10 | Waktu: 0.03391 detik
[SYNCPILOT | CPU  1] Layer 6 memproses Frame   5 | Waktu: 0.13986 detik
[SYNCPILOT | CPU  5] Layer 6 memproses Frame   9 | Waktu: 0.03273 detik
[SYNCPILOT | CPU  6] Layer 5 memproses Frame  12 | Waktu: 0.03326 detik
[SYNCPILOT | CPU  7] Layer 6 memproses Frame  11 | Waktu: 0.03207 detik
[SYNCPILOT | CPU  4] Layer 6 memproses Frame  10 | Waktu: 0.03302 detik
[SYNCPILOT | CPU  2] Layer 6 memproses Frame   8 | Waktu: 0.14041 detik
[SYNCPILOT | CPU  3] Layer 6 memproses Frame   4 | Waktu: 0.14131 detik
[SYNCPILOT | CPU  0] Layer 6 memproses Frame   2 | Waktu: 0.14306 detik
[SYNCPILOT | CPU  5] Layer 7 memproses Frame   5 | Waktu: 0.12013 detik
[SYNCPILOT | CPU  6] Layer 7 memproses Frame   9 | Waktu: 0.11722 detik
[SYNCPILOT | CPU  7] Layer 7 memproses Frame  11 | Waktu: 0.11059 detik
[SYNCPILOT | CPU  4] Layer 7 memproses Frame  10 | Waktu: 0.11134 detik
[SYNCPILOT | CPU  1] Layer 1 memproses Frame  13 | Waktu: 0.13478 detik
[SYNCPILOT | CPU  2] Layer 6 memproses Frame  12 | Waktu: 0.12493 detik
[SYNCPILOT | CPU  3] Layer 1 memproses Frame  14 | Waktu: 0.14771 detik
[SYNCPILOT | CPU  0] Layer 1 memproses Frame  15 | Waktu: 0.14257 detik
[SYNCPILOT | CPU  1] Layer 1 memproses Frame  16 | Waktu: 0.11532 detik
[SYNCPILOT | CPU  2] Layer 1 memproses Frame  17 | Waktu: 0.11472 detik
[SYNCPILOT | CPU  5] Layer 8 memproses Frame   5 | Waktu: 0.17524 detik
[SYNCPILOT | CPU  4] Layer 8 memproses Frame  10 | Waktu: 0.17755 detik
[SYNCPILOT | CPU  6] Layer 8 memproses Frame   9 | Waktu: 0.21033 detik
[SYNCPILOT | CPU  0] Layer 1 memproses Frame  19 | Waktu: 0.13591 detik
[SYNCPILOT | CPU  7] Layer 8 memproses Frame  11 | Waktu: 0.21766 detik
[SYNCPILOT | CPU  3] Layer 1 memproses Frame  18 | Waktu: 0.17827 detik
[SYNCPILOT | CPU  1] Layer 1 memproses Frame  20 | Waktu: 0.12215 detik
[SYNCPILOT | CPU  5] Layer 7 memproses Frame   8 | Waktu: 0.08819 detik
[SYNCPILOT | CPU  4] Layer 7 memproses Frame   4 | Waktu: 0.08752 detik
[SYNCPILOT | CPU  2] Layer 1 memproses Frame  21 | Waktu: 0.12442 detik
[SYNCPILOT | CPU  6] Layer 7 memproses Frame   2 | Waktu: 0.08971 detik
[SYNCPILOT | CPU  7] Layer 7 memproses Frame  12 | Waktu: 0.08327 detik
[SYNCPILOT | CPU  0] Layer 1 memproses Frame  22 | Waktu: 0.12859 detik
[SYNCPILOT | CPU  3] Layer 1 memproses Frame  23 | Waktu: 0.11951 detik
[SYNCPILOT | CPU  1] Layer 1 memproses Frame  24 | Waktu: 0.11877 detik
[SYNCPILOT | CPU  2] Layer 1 memproses Frame  25 | Waktu: 0.11612 detik
[SYNCPILOT | CPU  5] Layer 8 memproses Frame   8 | Waktu: 0.17797 detik
[SYNCPILOT | CPU  4] Layer 8 memproses Frame   4 | Waktu: 0.18001 detik
[SYNCPILOT | CPU  0] Layer 1 memproses Frame  26 | Waktu: 0.12486 detik
[SYNCPILOT | CPU  1] Layer 1 memproses Frame  28 | Waktu: 0.12434 detik
[SYNCPILOT | CPU  3] Layer 1 memproses Frame  27 | Waktu: 0.12997 detik
[SYNCPILOT | CPU  6] Layer 8 memproses Frame   2 | Waktu: 0.20869 detik
[SYNCPILOT | CPU  5] Layer 2 memproses Frame  14 | Waktu: 0.07271 detik
[SYNCPILOT | CPU  7] Layer 8 memproses Frame  12 | Waktu: 0.21482 detik
[SYNCPILOT | CPU  4] Layer 2 memproses Frame  15 | Waktu: 0.09847 detik
[SYNCPILOT | CPU  0] Layer 1 memproses Frame  29 | Waktu: 0.14239 detik
[SYNCPILOT | CPU  6] Layer 2 memproses Frame  16 | Waktu: 0.11211 detik
[SYNCPILOT | CPU  5] Layer 2 memproses Frame  17 | Waktu: 0.11055 detik
[SYNCPILOT | CPU  7] Layer 2 memproses Frame  19 | Waktu: 0.10764 detik
[SYNCPILOT | CPU  1] Layer 1 memproses Frame  30 | Waktu: 0.13904 detik
[SYNCPILOT | CPU  3] Layer 1 memproses Frame  31 | Waktu: 0.14147 detik
[SYNCPILOT | CPU  2] Layer 2 memproses Frame  13 | Waktu: 0.26697 detik
[SYNCPILOT | CPU  4] Layer 2 memproses Frame  18 | Waktu: 0.12176 detik
[SYNCPILOT | CPU  7] Layer 2 memproses Frame  22 | Waktu: 0.12702 detik
[SYNCPILOT | CPU  0] Layer 3 memproses Frame  14 | Waktu: 0.14380 detik
[SYNCPILOT | CPU  5] Layer 2 memproses Frame  21 | Waktu: 0.13721 detik
[SYNCPILOT | CPU  6] Layer 2 memproses Frame  20 | Waktu: 0.14157 detik
[SYNCPILOT | CPU  1] Layer 3 memproses Frame  15 | Waktu: 0.14039 detik
[SYNCPILOT | CPU  3] Layer 3 memproses Frame  16 | Waktu: 0.14472 detik
[SYNCPILOT | CPU  2] Layer 3 memproses Frame  17 | Waktu: 0.14536 detik
[SYNCPILOT | CPU  4] Layer 2 memproses Frame  23 | Waktu: 0.14173 detik
[SYNCPILOT | CPU  7] Layer 2 memproses Frame  24 | Waktu: 0.12525 detik
[SYNCPILOT | CPU  6] Layer 2 memproses Frame  26 | Waktu: 0.13622 detik
[SYNCPILOT | CPU  0] Layer 4 memproses Frame  14 | Waktu: 0.14466 detik
[SYNCPILOT | CPU  5] Layer 2 memproses Frame  25 | Waktu: 0.14106 detik
[SYNCPILOT | CPU  1] Layer 4 memproses Frame  15 | Waktu: 0.14167 detik
[SYNCPILOT | CPU  3] Layer 4 memproses Frame  16 | Waktu: 0.14510 detik
[SYNCPILOT | CPU  4] Layer 2 memproses Frame  28 | Waktu: 0.13714 detik
[SYNCPILOT | CPU  2] Layer 4 memproses Frame  17 | Waktu: 0.14825 detik
[SYNCPILOT | CPU  7] Layer 2 memproses Frame  27 | Waktu: 0.12171 detik
[SYNCPILOT | CPU  7] Layer 3 memproses Frame  19 | Waktu: 0.03274 detik
[SYNCPILOT | CPU  6] Layer 2 memproses Frame  29 | Waktu: 0.13346 detik
[SYNCPILOT | CPU  5] Layer 2 memproses Frame  30 | Waktu: 0.13310 detik
[SYNCPILOT | CPU  0] Layer 5 memproses Frame  14 | Waktu: 0.15595 detik
[SYNCPILOT | CPU  7] Layer 4 memproses Frame  19 | Waktu: 0.02799 detik
[SYNCPILOT | CPU  1] Layer 5 memproses Frame  15 | Waktu: 0.15151 detik
[SYNCPILOT | CPU  3] Layer 5 memproses Frame  16 | Waktu: 0.14259 detik
[SYNCPILOT | CPU  4] Layer 2 memproses Frame  31 | Waktu: 0.12406 detik
[SYNCPILOT | CPU  6] Layer 3 memproses Frame  13 | Waktu: 0.03305 detik
[SYNCPILOT | CPU  5] Layer 3 memproses Frame  18 | Waktu: 0.03282 detik
[SYNCPILOT | CPU  7] Layer 5 memproses Frame  19 | Waktu: 0.02835 detik
[SYNCPILOT | CPU  2] Layer 5 memproses Frame  17 | Waktu: 0.13605 detik
[SYNCPILOT | CPU  6] Layer 4 memproses Frame  13 | Waktu: 0.02901 detik
[SYNCPILOT | CPU  5] Layer 4 memproses Frame  18 | Waktu: 0.02835 detik
[SYNCPILOT | CPU  4] Layer 3 memproses Frame  22 | Waktu: 0.03185 detik
[SYNCPILOT | CPU  7] Layer 6 memproses Frame  19 | Waktu: 0.03120 detik
[SYNCPILOT | CPU  6] Layer 5 memproses Frame  13 | Waktu: 0.03324 detik
[SYNCPILOT | CPU  5] Layer 5 memproses Frame  18 | Waktu: 0.03215 detik
[SYNCPILOT | CPU  4] Layer 4 memproses Frame  22 | Waktu: 0.03441 detik
[SYNCPILOT | CPU  5] Layer 6 memproses Frame  18 | Waktu: 0.03326 detik
[SYNCPILOT | CPU  6] Layer 6 memproses Frame  13 | Waktu: 0.03445 detik
[SYNCPILOT | CPU  4] Layer 5 memproses Frame  22 | Waktu: 0.03246 detik
[SYNCPILOT | CPU  0] Layer 6 memproses Frame  14 | Waktu: 0.12817 detik
[SYNCPILOT | CPU  1] Layer 6 memproses Frame  15 | Waktu: 0.12733 detik
[SYNCPILOT | CPU  3] Layer 6 memproses Frame  16 | Waktu: 0.14525 detik
[SYNCPILOT | CPU  4] Layer 6 memproses Frame  22 | Waktu: 0.03596 detik
[SYNCPILOT | CPU  2] Layer 6 memproses Frame  17 | Waktu: 0.13441 detik
[SYNCPILOT | CPU  7] Layer 7 memproses Frame  19 | Waktu: 0.13474 detik
[SYNCPILOT | CPU  6] Layer 7 memproses Frame  13 | Waktu: 0.13277 detik
[SYNCPILOT | CPU  5] Layer 7 memproses Frame  18 | Waktu: 0.13476 detik
[SYNCPILOT | CPU  0] Layer 3 memproses Frame  21 | Waktu: 0.14223 detik
[SYNCPILOT | CPU  4] Layer 7 memproses Frame  14 | Waktu: 0.11082 detik
[SYNCPILOT | CPU  1] Layer 3 memproses Frame  20 | Waktu: 0.13735 detik
[SYNCPILOT | CPU  3] Layer 3 memproses Frame  23 | Waktu: 0.13475 detik
[SYNCPILOT | CPU  2] Layer 3 memproses Frame  24 | Waktu: 0.13139 detik
[SYNCPILOT | CPU  0] Layer 4 memproses Frame  21 | Waktu: 0.12242 detik
[SYNCPILOT | CPU  1] Layer 4 memproses Frame  20 | Waktu: 0.11952 detik
[SYNCPILOT | CPU  3] Layer 4 memproses Frame  23 | Waktu: 0.12403 detik
[SYNCPILOT | CPU  2] Layer 4 memproses Frame  24 | Waktu: 0.12129 detik
[SYNCPILOT | CPU  7] Layer 8 memproses Frame  19 | Waktu: 0.22429 detik
[SYNCPILOT | CPU  5] Layer 8 memproses Frame  18 | Waktu: 0.19998 detik
[SYNCPILOT | CPU  6] Layer 8 memproses Frame  13 | Waktu: 0.22070 detik
[SYNCPILOT | CPU  4] Layer 8 memproses Frame  14 | Waktu: 0.20837 detik
[SYNCPILOT | CPU  0] Layer 5 memproses Frame  21 | Waktu: 0.13788 detik
[SYNCPILOT | CPU  1] Layer 5 memproses Frame  20 | Waktu: 0.13738 detik
[SYNCPILOT | CPU  7] Layer 7 memproses Frame  15 | Waktu: 0.12187 detik
[SYNCPILOT | CPU  3] Layer 5 memproses Frame  23 | Waktu: 0.13917 detik
[SYNCPILOT | CPU  2] Layer 5 memproses Frame  24 | Waktu: 0.13865 detik
[SYNCPILOT | CPU  5] Layer 7 memproses Frame  16 | Waktu: 0.13603 detik
[SYNCPILOT | CPU  6] Layer 7 memproses Frame  22 | Waktu: 0.12949 detik
[SYNCPILOT | CPU  4] Layer 7 memproses Frame  17 | Waktu: 0.12484 detik
[SYNCPILOT | CPU  1] Layer 6 memproses Frame  20 | Waktu: 0.12807 detik
[SYNCPILOT | CPU  0] Layer 6 memproses Frame  21 | Waktu: 0.13101 detik
[SYNCPILOT | CPU  2] Layer 6 memproses Frame  24 | Waktu: 0.12349 detik
[SYNCPILOT | CPU  3] Layer 6 memproses Frame  23 | Waktu: 0.13868 detik
[SYNCPILOT | CPU  7] Layer 8 memproses Frame  15 | Waktu: 0.22808 detik
[SYNCPILOT | CPU  1] Layer 3 memproses Frame  26 | Waktu: 0.12458 detik
[SYNCPILOT | CPU  5] Layer 8 memproses Frame  16 | Waktu: 0.20119 detik
[SYNCPILOT | CPU  0] Layer 3 memproses Frame  25 | Waktu: 0.12890 detik
[SYNCPILOT | CPU  4] Layer 8 memproses Frame  17 | Waktu: 0.20011 detik
[SYNCPILOT | CPU  2] Layer 3 memproses Frame  28 | Waktu: 0.12674 detik
[SYNCPILOT | CPU  3] Layer 3 memproses Frame  27 | Waktu: 0.13462 detik
[SYNCPILOT | CPU  6] Layer 8 memproses Frame  22 | Waktu: 0.24590 detik
[SYNCPILOT | CPU  7] Layer 7 memproses Frame  20 | Waktu: 0.13247 detik
[SYNCPILOT | CPU  5] Layer 7 memproses Frame  21 | Waktu: 0.13791 detik
[SYNCPILOT | CPU  1] Layer 4 memproses Frame  26 | Waktu: 0.14059 detik
[SYNCPILOT | CPU  0] Layer 4 memproses Frame  25 | Waktu: 0.13935 detik
[SYNCPILOT | CPU  4] Layer 7 memproses Frame  24 | Waktu: 0.13441 detik
[SYNCPILOT | CPU  2] Layer 4 memproses Frame  28 | Waktu: 0.13725 detik
[SYNCPILOT | CPU  6] Layer 7 memproses Frame  23 | Waktu: 0.11613 detik
[SYNCPILOT | CPU  3] Layer 4 memproses Frame  27 | Waktu: 0.13723 detik
[SYNCPILOT | CPU  1] Layer 5 memproses Frame  26 | Waktu: 0.12440 detik
[SYNCPILOT | CPU  0] Layer 5 memproses Frame  25 | Waktu: 0.12217 detik
[SYNCPILOT | CPU  2] Layer 5 memproses Frame  28 | Waktu: 0.12096 detik
[SYNCPILOT | CPU  3] Layer 5 memproses Frame  27 | Waktu: 0.12166 detik
[SYNCPILOT | CPU  5] Layer 8 memproses Frame  21 | Waktu: 0.19351 detik
[SYNCPILOT | CPU  7] Layer 8 memproses Frame  20 | Waktu: 0.22151 detik
[SYNCPILOT | CPU  4] Layer 8 memproses Frame  24 | Waktu: 0.19807 detik
[SYNCPILOT | CPU  5] Layer 3 memproses Frame  29 | Waktu: 0.02743 detik
[SYNCPILOT | CPU  7] Layer 3 memproses Frame  30 | Waktu: 0.03003 detik
[SYNCPILOT | CPU  5] Layer 4 memproses Frame  29 | Waktu: 0.03108 detik
[SYNCPILOT | CPU  4] Layer 3 memproses Frame  31 | Waktu: 0.03328 detik
[SYNCPILOT | CPU  1] Layer 6 memproses Frame  26 | Waktu: 0.12756 detik
[SYNCPILOT | CPU  0] Layer 6 memproses Frame  25 | Waktu: 0.13005 detik
[SYNCPILOT | CPU  7] Layer 4 memproses Frame  30 | Waktu: 0.02986 detik
[SYNCPILOT | CPU  6] Layer 8 memproses Frame  23 | Waktu: 0.22664 detik
[SYNCPILOT | CPU  2] Layer 6 memproses Frame  28 | Waktu: 0.12939 detik
[SYNCPILOT | CPU  5] Layer 5 memproses Frame  29 | Waktu: 0.02594 detik
[SYNCPILOT | CPU  4] Layer 4 memproses Frame  31 | Waktu: 0.02836 detik
[SYNCPILOT | CPU  3] Layer 6 memproses Frame  27 | Waktu: 0.13450 detik
[SYNCPILOT | CPU  4] Layer 6 memproses Frame  29 | Waktu: 0.03046 detik
[SYNCPILOT | CPU  1] Layer 1 memproses Frame  32 | Waktu: 0.10857 detik
[SYNCPILOT | CPU  7] Layer 7 memproses Frame  26 | Waktu: 0.10785 detik
[SYNCPILOT | CPU  6] Layer 7 memproses Frame  25 | Waktu: 0.12184 detik
[SYNCPILOT | CPU  5] Layer 7 memproses Frame  28 | Waktu: 0.11368 detik
[SYNCPILOT | CPU  0] Layer 1 memproses Frame  33 | Waktu: 0.13532 detik
[SYNCPILOT | CPU  2] Layer 5 memproses Frame  30 | Waktu: 0.12978 detik
[SYNCPILOT | CPU  4] Layer 7 memproses Frame  27 | Waktu: 0.09722 detik
[SYNCPILOT | CPU  3] Layer 5 memproses Frame  31 | Waktu: 0.12767 detik
[SYNCPILOT | CPU  1] Layer 1 memproses Frame  34 | Waktu: 0.10122 detik
[SYNCPILOT | CPU  0] Layer 1 memproses Frame  35 | Waktu: 0.12269 detik
[SYNCPILOT | CPU  2] Layer 6 memproses Frame  30 | Waktu: 0.11419 detik
[SYNCPILOT | CPU  3] Layer 6 memproses Frame  31 | Waktu: 0.11713 detik
[SYNCPILOT | CPU  1] Layer 1 memproses Frame  36 | Waktu: 0.10295 detik
[SYNCPILOT | CPU  5] Layer 8 memproses Frame  28 | Waktu: 0.18450 detik
[SYNCPILOT | CPU  7] Layer 8 memproses Frame  26 | Waktu: 0.21841 detik
[SYNCPILOT | CPU  4] Layer 8 memproses Frame  27 | Waktu: 0.18471 detik
[SYNCPILOT | CPU  6] Layer 8 memproses Frame  25 | Waktu: 0.21186 detik
[SYNCPILOT | CPU  2] Layer 1 memproses Frame  38 | Waktu: 0.12407 detik
[SYNCPILOT | CPU  0] Layer 1 memproses Frame  37 | Waktu: 0.13008 detik
[SYNCPILOT | CPU  3] Layer 1 memproses Frame  39 | Waktu: 0.12695 detik
[SYNCPILOT | CPU  1] Layer 1 memproses Frame  40 | Waktu: 0.10804 detik
[SYNCPILOT | CPU  7] Layer 7 memproses Frame  30 | Waktu: 0.09854 detik
[SYNCPILOT | CPU  5] Layer 7 memproses Frame  29 | Waktu: 0.10981 detik
[SYNCPILOT | CPU  4] Layer 7 memproses Frame  31 | Waktu: 0.10240 detik
[SYNCPILOT | CPU  6] Layer 2 memproses Frame  32 | Waktu: 0.09683 detik
[SYNCPILOT | CPU  6] Layer 2 memproses Frame  33 | Waktu: 0.05296 detik
[SYNCPILOT | CPU  2] Layer 1 memproses Frame  41 | Waktu: 0.12765 detik
[SYNCPILOT | CPU  1] Layer 1 memproses Frame  44 | Waktu: 0.09945 detik
[SYNCPILOT | CPU  0] Layer 1 memproses Frame  42 | Waktu: 0.12837 detik
[SYNCPILOT | CPU  3] Layer 1 memproses Frame  43 | Waktu: 0.12064 detik
[SYNCPILOT | CPU  6] Layer 2 memproses Frame  34 | Waktu: 0.05930 detik
[SYNCPILOT | CPU  5] Layer 8 memproses Frame  29 | Waktu: 0.19241 detik
[SYNCPILOT | CPU  6] Layer 2 memproses Frame  35 | Waktu: 0.07481 detik
[SYNCPILOT | CPU  0] Layer 1 memproses Frame  45 | Waktu: 0.11304 detik
[SYNCPILOT | CPU  4] Layer 8 memproses Frame  31 | Waktu: 0.19398 detik
[SYNCPILOT | CPU  2] Layer 3 memproses Frame  32 | Waktu: 0.12796 detik
[SYNCPILOT | CPU  7] Layer 8 memproses Frame  30 | Waktu: 0.21656 detik
[SYNCPILOT | CPU  1] Layer 3 memproses Frame  33 | Waktu: 0.12844 detik
[SYNCPILOT | CPU  3] Layer 1 memproses Frame  46 | Waktu: 0.13943 detik
[SYNCPILOT | CPU  5] Layer 2 memproses Frame  36 | Waktu: 0.12350 detik
[SYNCPILOT | CPU  6] Layer 2 memproses Frame  38 | Waktu: 0.12457 detik
[SYNCPILOT | CPU  7] Layer 2 memproses Frame  39 | Waktu: 0.12143 detik
